inputName,n
values_84,12
values_30,10
values_96,30
values_15,8
values_16,2
values_94,11
values_90,23
values_52,8
values_78,30
values_20,24
values_53,21
values_43,2
values_42,19
values_0,19
values_61,24
values_97,9
values_14,16
values_87,9
values_50,16
values_83,28
values_67,25
values_86,22
values_23,13
values_64,17
values_44,17
values_71,25
values_93,19
values_88,6
values_26,21
values_59,10
values_57,12
values_82,3
values_75,26
values_51,23
values_7,16
values_92,17
values_56,16
values_47,5
values_95,31
values_98,18
values_8,12
values_18,7
values_28,13
values_81,24
values_17,16
values_38,24
values_41,24
values_73,22
values_66,15
values_58,3
values_70,8
values_46,17
values_11,25
values_33,29
values_72,2
values_6,4
values_10,11
values_27,31
values_24,3
values_3,22
values_69,10
values_36,15
values_21,4
values_5,27
values_49,31
values_1,16
values_2,15
values_13,7
values_32,8
values_39,20
values_4,10
values_65,19
values_85,31
values_62,23
values_91,10
values_25,28
values_63,8
values_12,19
values_79,23
values_54,5
values_9,26
values_74,31
values_22,23
values_89,25
values_48,2
values_99,19
values_60,12
values_34,18
values_31,17
values_37,14
values_76,19
values_19,25
values_45,4
values_68,6
values_35,21
values_80,31
values_77,23
values_29,12
values_55,9
values_40,11
