inputName,size,a[size]
values_84,18,"{-142635461378052267, 499804731738586307, -3625039349901797417, -1709600686096081563, -5235834291249261941, -7370638544878347101, -12403841221995222, -3854712112627915884, 2366425065090589139, -5307407698576353666, -6731255711907457227, 1928065595281697183, 6346594700551078075, 115770249396510343, 6083715083748697300, -9202938197492166084, 5301142395604198829, 8188739961948639749"
values_30,10,"{-5166186168400068130, -7637206682899439983, 6336715395888252578, -4202202030854058850, 6830146628216397027, 6191175487696671812, 9019014545447265712, 2764931726476907979, 380030309753579391, -1787315589306308900"
values_96,24,"{-4066158529535605594, -8218837051978272899, -3108181093605686876, -3867019682586214158, -14131874648267633, -1645207623728793006, 6187857693541625016, 2533306992580803311, -2338666421830977853, -5976662073728054371, -5129974912844041544, -5906255151617710093, 5519006375195369668, -2002040790393868189, -8575759338911701903, -8212599556959058460, 6950243840893916849, 820764401366151727, -6214032855140248747, -5085451431278307166, -8778645576496345347, 2924756554498164041, 218642502791683539, 5407808128940744069"
values_15,13,"{8860318732007988964, 8676739330088561070, -3425508036537110856, -3883915604203273149, 7416446656087238068, 4577127436077808429, 8623324312076303640, -8608599066217258040, 1343518364712350248, -9073793678986220481, 227200348117633856, 5105959655943801772, -5445801260118362491"
values_16,25,"{3245392314044018907, 6717550783972366942, 7255428077431410052, -2456160184130187017, 2254633272732739930, 3849069444605130349, 2982395744904985353, -6843348508590990719, -5238058362116697389, -3290937255353886133, 7428786193611503951, -8336971311903417538, -1799731147990028464, -5615916350502541525, 5239717132630356489, -2015426503997676266, 4536684838595530906, -219216538586864098, 7032171346784870457, 5282111571872466126, -2048831464287806192, 7826979634450676058, -2442157483795095774, 8598844874198374547, -3703622244953542588"
values_94,32,"{4684611694916068154, 8571982430877114242, -440088631055567230, 9112292500337752055, 4922116086559982927, -5148560434195060586, -6531917480571334063, -9123136047632376535, 5687617648330435056, 1379861879516666594, 262020979789697397, 1695598722672505635, -4824342044968001020, -3743950280746317885, -4168112582726010861, 8904703450710028433, 7183491004769684735, 7865343570104331158, -7927804255990407712, -9066068769671429559, 8369620971441831928, 3549115274157924975, -6617821026430159400, -3221792576442687696, -1365236749857229466, -632836183939561867, -820896777362522333, -1623558624120998655, 103722516676117445, 458794258046763494, -8221256436162902189, 3877855047569971063"
values_90,17,"{-8447117022105722953, -7449507173905554961, -8365942857798818423, -8322056299507511675, -5122243856408416505, 5797347483281413459, 3999522641613436261, -3232553126008573048, 1895324698548948652, 6920077056214973447, -1066797322841448009, -5244615837791191720, -3218060622140102667, 6333128191194087502, -798860538159998459, -1983986692157607629, 8926877137863205082"
values_52,11,"{-5720077913718960304, 6803566169534199243, -2629195854929974612, 8975037724042843236, -5458453744862632804, -4765260923944347863, -5893257523819302136, -1966264798894809489, 3628616709458744418, -295226714264536310, -8306081633590096652"
values_78,15,"{3555889381045258270, -3403210518197104952, 6157844132069112077, 8822377194505502641, 2890394886562953204, 7666712606150041073, -357539062180661356, -4070985705421278438, -1918019875066696491, 929106574595741661, -7721130258328740789, -80305254299485351, -2910315949601018221, 9033976750902413571, -6389403674553194420"
values_20,30,"{2484531638857184284, -15653226551262300, -5495885420446597446, 5463266583893852363, -8867295278693572706, -49405455031555491, -4698688108135144038, 5865335877592690078, -7861389826419080113, 3652078280064637269, -4262914230880762768, 4329802999265496997, 5884288612346287083, -3068130003466785892, -2010237844952641204, -4277030801308100156, 5388087495194229802, 5413885960126143351, -6380549171593357483, -55201852936349478, -2577235084540446161, 1987987323812942557, 537040543437707056, -1829283995798447744, 4269586278930536415, -2455654374808461445, 6069446002174647858, 8770914011799809369, -2220188364904599337, 3936781262773031650"
values_53,28,"{2878923664534426076, 1751187062182671738, 2751630835387009971, 7625331972072305376, 2223586581464739292, -4497324213835540610, 6422234508806172372, -7331942725725219956, -2588684741514144079, 4433695712402208031, -301242913471779576, -6314905587150269592, -741026043068481953, -6289494326315092815, 7368910698591814383, -2900225609567752906, -1363542029675285860, 1802181436660898941, -299157312650823764, -5284498716564037391, 1055799811432180071, 3578180038350330874, 2156212857694827534, -109420855978471816, -3121234501364833840, 3924127863674815902, 3380741048766904304, -8862026572194191185"
values_43,20,"{-7926689980931024545, 8915205019725498946, 6461977033076652014, 2257467519438026352, -260487082463933217, -304934003024495512, 8079428550028856042, 6803319073414872546, 3265001799656400721, -2614161199120411192, 7340183648490485083, -7794941912472509261, 6469416362092428696, 3203406093692309492, -60432446246486697, 7998870501219489254, 8731060913372175244, -5813769258183406706, 601626749146919675, -7952394912310264806"
values_42,17,"{7630859231871264631, 1796318588721903491, -4478888441850444055, -2213265664237830950, 3435839458878684672, 3932792485896691545, -1107751415757069615, -6714349889333357634, 8012658285918175089, -4746322499022665668, -1827615500464657260, -418295018290934180, 2282894587277971416, -1190049227123263310, -616852530766152086, -7029056715378084861, 3249980003812214094"
values_0,27,"{-1095999645329129900, 4650327990120754991, -2732193974408992618, -3313461931405712898, -337897108640810396, -5969257351274998321, -2378093157517341722, 2049819218935602781, -1564136947246447520, 2135996767416229133, -8412686112110881897, 3843419567699083769, 7934697957477200320, -6127220057257899253, -6263971020526363612, 4040049872468816632, 4920782870957134916, 7419399115576725584, 7839177937406173788, 7635711955115878433, 5475263106680686469, 8745322434265906308, 3128369402566716033, -6862582459519616662, 4545651852571009107, -5727185365940494424, 8237170242134130431"
values_61,19,"{-6922816317412290205, 4572954809934684945, -3074120132642447107, -3738451232767627248, -7968788545179836446, -5170304596290171900, 1671088898429847506, 258741861556420053, -8318528097506295161, 6273904398132112632, -8353527905428283334, -7243482730048953396, 6148893846701961202, -8329533069983969358, 1941466837452317544, -3198577492858460110, 7977170672230148711, 42968921564754560, -7708682786190739627"
values_97,8,"{4401275807146050336, -6881698429118597116, -6202382583363334484, -7524423622429317472, -8251041571675809617, -3436132372947553162, 1787735581260803148, 581199927867062040"
values_14,29,"{8754911690791504407, -4721237261437742885, -7462875647435286020, 5427963612781508756, -5062957798580330601, -8954555632588176024, -5893598766096275539, -6818370034873005434, 3312245107975724277, 4302405423121124325, -5704245233601335484, -5049766435614079073, 5584784544078028257, -5316727986531329401, -8099270521925940916, 3444285066275505827, 2907245147911612306, 5086262249639998265, -7216465554095697481, -2690183924922319724, -3993982958005158985, 7850788456188318836, 6164478490542846952, 8279282577011575302, -3653542116358073063, -317882736649976021, 563125589688348394, -7783579692666117629, -4954134085105991803"
values_87,7,"{3196603153142630827, -7729891138978125359, 4593351384657509700, 1772475710912582862, 4052330869410993446, -606568258661778470, -1443361783182394015"
values_50,23,"{4129553013465696916, 51444035251803944, -5820980152654947115, -446556787796253609, 6187254578634423091, -6461889881971791614, 4602870430344511310, -8423580206744568757, -8649420346309082576, -7489482788353411518, 4762588710529032251, 6211544209766389359, 5518275691242624105, 5435293398908240804, 6516640627393791240, 1887182559784092696, -4797861404548272662, 7392625612160063095, 151090558439210325, -5903064056959596537, 5224600995955213715, 3220874031292094196, -1219751593628787456"
values_83,28,"{7857972433832552068, 3402830610791771716, 6936679968445656545, 2779989916236767981, 389200659557193574, 7238133240415700822, -4481420823796604829, 4840691376004838438, 7825440412073645081, -6657422542254123456, 5448879175635069090, -3521812844570698965, -295462213076786975, -1120799769723200159, 201735093699677957, 8511430919739874789, 9124630607329809046, -4850666965343381758, -3190158054242381035, 1740156524487226367, -6126402884244632440, -8121206305130785450, -2344843292551527516, 8725171472400155338, -1055555081109737069, 9074182936555677055, -6406144505410176831, 240028967608951048"
values_67,6,"{-733975554912076007, -8091814770348352257, 7530505440882468309, 4256454468683178680, 445869623368875966, 2930288971221562041"
values_86,13,"{-3186688732304417125, -2748566335890666025, 3406177135371141157, 7701825225231663594, 367225522951342184, 4672652822036222437, 2132684017782039292, 8540250917434645391, 2988637557714878614, -680890798286396384, 1623702659300435972, -4048638432683171682, 5879893623101882719"
values_23,5,"{2683109672486081167, 7279015353053727269, -3262369772590672049, 8396553303746014788, 4281472535196126444"
values_64,9,"{-989424336083849954, 1275028801677582947, -5229519173724411954, 5213436922212766175, 2968311020169832186, 2752687948426753809, 9210649149372282236, -6864035338562007216, -8796531138936701352"
values_44,28,"{929346222455381310, 6768681580935932817, -3709088831976566446, 5699953452736020842, 1397341761701947929, -7509238538829396503, 1554924972621911037, -1997503725107512247, -51336615635032510, -7017124055977806454, 5504459529717769841, 1565915452124800477, 1551180606662289359, -859123650416036900, 8392434105346630735, 5133310318479799586, -1840288484454464009, -3972119130082001665, 5956806803113459457, -359971915005900264, -1152553354967648037, 4427681925107498425, -986719041632027936, -7974407115805393616, -966947138567205314, 7213061030602970911, -1252232059517661637, -721086378146211999"
values_71,14,"{584901558338028025, -4262780147955518227, 1948701106997046266, -4422484043770363970, 8165017154488873835, 7933656313958813169, -5188306465125366212, 5305871269535281703, 6402392685589880371, 507573225032584508, -4658738574588028364, -9109971125132963798, -6870485107696759417, -8728475720543448526"
