inputName,nn,size,isign,data[size]
values_84,7,5,1,"{25, -76, -113, -83, 88"
values_30,8,12,1,"{127, 82, -84, -117, 105, -36, -31, 7, -92, -64, 93, 117"
values_96,9,10,1,"{-1, 94, -60, -111, -75, -116, -61, -34, 40, -126"
values_15,2,9,1,"{-29, 38, -39, 119, 56, 53, -8, 76, -17"
values_16,2,10,1,"{73, -66, -35, 93, -117, -101, 101, 55, 79, -20"
values_94,9,5,1,"{-114, 106, 76, 19, 111"
values_90,9,12,1,"{-91, 28, 95, -49, -29, -88, -41, 36, 111, -67, 121, -39"
values_52,9,2,1,"{121, -33"
values_78,3,13,1,"{87, 47, 122, -107, 40, -73, -18, -87, -100, -109, -29, 96, 105"
values_20,5,12,1,"{-116, 64, -91, -52, 96, 69, -114, -92, -104, 26, -8, -86"
values_53,9,13,1,"{9, 118, 67, -113, 88, 45, -62, -44, -18, -107, 82, -85, -12"
values_43,9,13,1,"{-100, -116, -7, -22, -28, -67, 108, -75, 66, 20, -61, -102, 39"
values_42,9,2,1,"{90, -32"
values_0,9,12,1,"{-112, 21, -116, -55, -48, 106, -48, 89, -10, 96, -102, -68"
values_61,5,20,1,"{106, -38, -114, -80, -100, -4, -86, -47, 25, -62, 21, -38, -70, -114, 23, 104, 104, -76, -40, -122"
values_97,9,18,1,"{86, 7, -101, 70, 98, 9, -48, -86, -34, -25, 89, -127, -57, -51, 82, -1, -104, -51"
values_14,2,5,1,"{-80, -48, -37, 17, 12"
values_87,7,18,1,"{-80, 104, 44, -56, -95, 97, -74, 23, 77, 67, 102, -83, 42, 65, 18, 123, 26, 124"
values_50,9,12,1,"{82, -39, 63, 48, -54, -99, -84, 19, 14, 4, -63, 79"
values_83,7,13,1,"{92, -80, 5, -101, 43, 2, 43, -101, 89, 0, -49, 51, 43"
values_67,5,18,1,"{123, 59, 99, -8, 115, 10, 40, 69, 64, 22, -43, 43, 90, -79, 83, -87, 86, -127"
values_86,7,10,1,"{99, 106, 76, -1, -115, 120, 18, -53, -111, -11"
values_23,5,13,1,"{-19, -53, 99, 59, 69, 47, -65, -94, 22, 39, 122, 23, 20"
values_64,5,5,1,"{-49, -33, 0, -32, 108"
values_44,9,5,1,"{-42, 83, -62, -62, 108"
values_71,3,20,1,"{-2, -15, 99, 118, 48, 89, -88, -48, 99, -110, 11, -69, 39, 63, 32, -40, -59, 125, -113, 11"
values_93,9,13,1,"{-106, 95, 60, -28, -18, 74, -84, 3, -68, -91, 14, 94, -42"
values_88,7,13,1,"{42, -58, 25, -103, -124, 96, 60, -81, -42, 114, -77, -74, -66"
values_26,5,10,1,"{6, -78, -13, 105, 68, -71, 9, 59, 111, -74"
values_59,9,13,1,"{31, 49, 87, 48, 117, 90, -39, -128, -9, -128, -34, 90, -95"
values_57,9,18,1,"{126, -120, 3, -42, -72, -91, -65, 19, 35, 49, 79, -93, -36, 69, 58, 42, 88, 116"
values_82,7,2,1,"{48, 37"
values_75,3,9,1,"{-48, 95, -88, -112, -9, 71, -28, -120, -39"
values_51,9,20,1,"{-104, 48, 13, -21, 39, -116, 64, -8, -2, -68, -48, 66, 119, 92, -80, 111, 109, -2, 124, -15"
values_7,9,18,1,"{127, 74, -22, -75, 63, 76, -79, 46, 53, -89, -67, 123, 19, 101, 103, -100, -25, -94"
values_92,9,2,1,"{-18, -67"
values_56,9,10,1,"{24, -72, -14, 44, -112, 105, 69, 33, -53, -1"
values_47,9,18,1,"{18, -5, 56, 25, -11, -66, -89, -127, 76, 31, 93, -122, -86, 88, -109, 85, -107, 98"
values_95,9,9,1,"{28, -90, 75, -79, -45, -107, -128, -114, -88"
values_98,9,13,1,"{49, -90, -2, 95, -120, -41, -124, 97, -66, 17, -67, 49, -43"
values_8,9,13,1,"{-68, -10, -41, 97, 67, -43, 107, 59, -69, -9, -9, -66, 111"
values_18,2,13,1,"{50, -25, -56, -51, 50, -85, -56, -91, 14, 52, 110, -89, 42"
values_28,5,13,1,"{2, -122, -41, 67, 123, -26, 32, -104, -110, 113, -70, 44, -5"
values_81,7,20,1,"{122, -63, -28, -107, -117, -4, -96, 87, 93, 44, 29, -9, 98, -98, 16, -8, 23, 125, -38, -120"
values_17,2,18,1,"{-113, 103, 59, 91, 93, -23, 53, -39, 45, 105, 4, 87, -19, -73, -25, -83, 22, 43"
values_38,8,13,1,"{-119, -86, -70, -7, -61, 47, 60, -84, -22, 91, 74, -87, 79"
values_41,9,20,1,"{3, 84, -85, 86, 84, -72, -126, 65, 65, -19, 25, 62, -64, 41, 105, -110, 103, 126, -109, 102"
values_73,3,13,1,"{76, -48, 36, -21, -112, 52, -52, 3, -31, -11, 117, 105, 37"
values_66,5,10,1,"{-96, -37, 57, -83, 39, -125, -12, -22, -93, -103"
values_58,9,13,1,"{-75, -121, -49, 77, 84, 58, -123, 72, -95, 108, -81, -83, 42"
values_70,3,12,1,"{103, 9, 4, 119, 75, 78, -68, -34, 36, -13, -87, 104"
values_46,9,10,1,"{94, 31, 0, -108, -65, -21, 62, -119, -65, 29"
values_11,2,20,1,"{-36, -107, 42, -35, -17, -102, 7, -68, -73, 6, -114, -119, 31, -76, 81, -61, -27, -55, -39, 60"
values_33,8,13,1,"{-123, -77, -71, -44, -119, -124, 88, -14, -102, 33, 26, 61, 126"
values_72,3,2,1,"{5, -62"
values_6,9,10,1,"{-109, -18, -13, -21, -76, -73, -92, -112, 90, 29"
values_10,2,12,1,"{-43, 108, -116, 61, 69, 116, 86, 106, -65, -58, -62, 5"
values_27,5,18,1,"{47, -21, 123, -90, 43, 49, -97, -27, -11, 98, 44, 35, -8, 53, -58, -37, 30, -18"
values_24,5,5,1,"{56, -123, 31, -36, -91"
values_3,9,13,1,"{2, 12, -66, 119, -123, 91, -34, 84, 97, -96, -14, 101, -96"
values_69,5,13,1,"{-45, 88, -20, -37, 47, -69, 53, -22, -30, -8, 97, -4, 31"
values_36,8,10,1,"{-120, -60, -9, -29, -83, -104, -93, -18, -99, 121"
values_21,5,20,1,"{-119, 75, -15, -34, 66, 119, 52, -114, 66, -33, 118, -27, 2, -91, 105, -81, -48, -122, 113, 21"
values_5,9,9,1,"{-51, -123, 35, -110, 32, -47, 110, -9, -74"
values_49,9,13,1,"{101, 82, -79, 36, -64, 110, 119, -16, -78, 73, 97, -82, -97"
values_1,9,20,1,"{-25, 106, -26, -52, 33, -61, -10, 99, 85, 124, 43, 10, -82, -81, -81, -76, 82, -12, -117, 87"
values_2,9,2,1,"{-119, -55"
values_13,2,13,1,"{-109, 95, 50, -79, -31, 125, -113, -24, -23, -38, -26, -43, -51"
values_32,8,2,1,"{-43, -14"
values_39,8,13,1,"{13, -54, 75, -39, -88, -16, 49, -83, -102, 69, -55, 51, 47"
values_4,9,5,1,"{-44, -30, -86, -115, 43"
values_65,5,9,1,"{-23, 83, 120, -52, -52, -70, -13, -13, -100"
values_85,7,9,1,"{95, -17, 56, -103, 104, 48, -120, 72, 93"
values_62,5,2,1,"{100, 116"
values_91,9,20,1,"{-40, 47, 119, -4, -7, -108, -114, 78, -91, 26, -124, 33, -66, 16, -113, 10, -127, 68, -49, 1"
values_25,5,9,1,"{99, -46, -109, -57, 1, -113, 12, 124, -84"
values_63,5,13,1,"{55, -73, -20, 105, -74, 55, 22, -66, -55, 96, 83, -49, 83"
values_12,2,2,1,"{-61, -71"
values_79,3,13,1,"{83, 113, -20, -41, 18, 83, -64, -63, -106, 121, 117, -51, -35"
values_54,9,5,1,"{-30, 110, 106, -80, 94"
values_9,9,13,1,"{-55, -73, 121, 113, -56, 110, 85, -48, -39, -23, 60, -39, 70"
values_74,3,5,1,"{56, -6, 76, -13, -1"
