inputName,nn,size,isign,data[size]
values_84,2,10,1,"{810867661289191049, -1079599064678382785, 3453577256662752127, 5938994512101740764, 3276427794508205966, 772220642452406062, 4858429151371336663, 131489786714866610, 6228555211559241328, -7943389090880782336"
values_30,2,18,1,"{2423505597348988719, -5891741329915924065, 6615987712730812345, -9168477642156512992, 8726580753009640912, 3311564173732902979, -314010802752024404, -7684434642264098572, 1117050786189735495, -5577180003514663114, 8858514228881071404, 587152156069280200, -7916300224532504295, 1456424423578532133, 9049679469360362333, 5850362071212181720, 8733599362231592434, 5017693971755844120"
values_96,3,17,1,"{-15757526248278819, 5304188578175668138, 3772309677798979633, 2143124048704791959, -3847627804276427891, -8968560580051863150, 3187965481423826786, 728424316673377346, 820512680271488896, 2505095712825245955, -4012560474679440283, 8656349973936494475, -7081434374637054330, 7341647295058550114, 3911181251496934672, 8662990324060692542, -7556298480654846280"
values_15,1,6,1,"{6746374307274505454, 4073342463648876376, 8465299317380329794, 5979442513103204426, 4774567090302326053, -2631117330331963232"
values_16,1,17,1,"{6824269569983306535, 2426253906919436095, -2473811464945288124, -8313262197657368085, -7689076251434116950, 7916076403894277267, -7385241870000633741, 1784365332305454967, 1171214553951468847, -7585944478016622577, -8990254579211454437, -717466661732091463, 6766518111347431767, -9107852062761177251, -5012006820349550227, -6355962962574124756, 3522693691122871907"
values_94,3,10,1,"{-5716113500775004030, -5641117219118330534, -4576512558408648920, -990425855373004610, -4026470930112988820, -1230709236456960003, 1655330545592754561, -3418350276767113282, -1009294177603151909, -1004167712855114256"
values_90,3,18,1,"{-3045477356461047520, -3799562082000129755, -8532287551393288428, -700260021399466754, -2659615301457194333, 6272260456781164765, 6220866618986798351, 2798991848050810788, 7568332850220386958, -3322920016032927308, -5020752636178863863, 6031408083512326774, -7702610473743976675, 6372047087292993904, -6764259805873190681, 6005695551260118801, 3623876311412763245, 8870959733816848075"
values_52,4,29,1,"{2142281009241963286, -6218169981768306223, 6826021026445677475, -319952226731118582, -8440984978215455642, -9168195299084385841, 6410823852039848538, -2658653896617483975, -2845642876337096334, 5113884161662292241, -9101661919240227759, 4642213899055525418, 3377728230669505095, -6328567020318366058, 1683266554144239318, -2354542457371492060, -2783257068038795119, -1982788746255378001, 17376347622407014, 4684585388198122875, -1498141835918623480, 3226829369402110501, -4576994805309993093, -5817022678522255125, -4397338574009418764, 1341183227366554351, -2249814282942643231, -1711379969089594956, 8296464693927552177"
values_78,3,8,1,"{2412233569637986862, -7332980692881286846, -2274736896586596417, -5023578487841590386, -8138983486381540403, -1676600531940722614, 4846298598771151994, -4196362348661092449"
values_20,1,18,1,"{-2262221202485907452, 1886069456856181653, -9055204050855061426, -3205825642001298917, -9157455190998534844, 5808790443198057061, -9153980607387488029, 8041076377640394681, -547798726383611064, -3465933183942702520, 1139568755497392683, 6395398906515296476, -8396597186970355119, 4749470033586906004, -7297217711113852862, -5367735752425518620, -6478025401669757574, 7945406821644011932"
