inputName,idum
values_84,81
values_30,-98
values_96,108
values_15,-7
values_16,114
values_94,-56
values_90,-94
values_52,42
values_78,-76
values_20,119
values_53,-119
values_43,-102
values_42,15
values_0,103
values_61,116
values_97,29
values_14,-80
values_87,119
values_50,49
values_83,-127
values_67,58
values_86,19
values_23,-68
values_64,43
values_44,109
values_71,75
values_93,-62
values_88,38
values_26,18
values_59,9
values_57,-83
values_82,86
values_75,-63
values_51,24
values_7,-121
values_92,105
values_56,-112
values_47,-16
values_95,-99
values_98,27
values_8,-43
values_18,87
values_28,33
values_81,38
values_17,-51
values_38,6
values_41,-34
values_73,5
values_66,-66
values_58,73
values_70,-122
values_46,29
values_11,127
values_33,-63
values_72,90
values_6,68
values_10,23
values_27,31
values_24,81
values_3,-82
values_69,3
values_36,-113
values_21,-127
values_5,21
values_49,49
values_1,111
values_2,-88
values_13,-71
values_32,14
values_39,-76
values_4,44
values_65,-72
values_85,-95
values_62,-55
values_91,-105
values_25,122
values_63,-75
values_12,105
values_79,-104
values_54,-121
values_9,81
values_74,-59
values_22,-126
values_89,33
values_48,44
values_99,50
values_60,-103
values_34,120
values_31,64
values_37,90
values_76,-4
values_19,9
values_45,-127
values_68,-106
values_35,-90
values_80,27
values_77,122
values_29,-35
values_55,-81
values_40,68
