inputName,n
values_84,7
values_30,25
values_96,25
values_15,28
values_16,22
values_94,10
values_90,28
values_52,19
values_78,10
values_20,16
values_53,3
values_43,31
values_42,17
values_0,24
values_61,5
values_97,32
values_14,25
values_87,9
values_50,4
values_83,15
values_67,30
values_86,31
values_23,32
values_64,11
values_44,13
values_71,2
values_93,32
values_88,18
values_26,6
values_59,2
values_57,14
values_82,22
values_75,25
values_51,22
values_7,30
values_92,29
values_56,30
values_47,24
values_95,19
values_98,29
values_8,13
values_18,19
values_28,14
values_81,12
values_17,21
values_38,20
values_41,20
values_73,7
values_66,17
values_58,10
values_70,5
values_46,21
values_11,26
values_33,15
values_72,10
values_6,23
values_10,18
values_27,2
values_24,26
values_3,14
values_69,14
values_36,30
values_21,12
values_5,12
values_49,19
values_1,28
values_2,7
values_13,19
values_32,15
values_39,2
values_4,5
values_65,12
values_85,27
values_62,28
values_91,21
values_25,24
values_63,13
values_12,20
values_79,17
values_54,31
values_9,12
values_74,9
values_22,29
values_89,21
values_48,31
values_99,23
values_60,24
values_34,27
values_31,13
values_37,23
values_76,20
values_19,30
values_45,22
values_68,16
values_35,28
values_80,20
values_77,30
values_29,22
values_55,27
values_40,23
