inputName,size,a[size]
values_84,21,"{64, -126, -104, -20, 72, 86, -83, 81, 90, -42, -106, 29, 110, 85, 55, -7, -128, -11, 67, 59, -7"
values_30,10,"{-95, 76, -97, -118, 89, -42, 37, -70, -78, 100"
values_96,23,"{-79, 61, -6, 44, -16, 105, -50, 41, 29, 64, 54, 115, 92, 81, -92, -93, 26, -29, -62, 118, 106, 35, -104"
values_15,9,"{-55, -107, 47, 90, 124, -121, 107, -26, -52"
values_16,30,"{-22, -102, 55, -1, 33, 125, -85, -66, 89, -86, 69, -15, -62, -38, 32, -54, 120, 124, 29, 93, 103, -71, -32, -2, 49, 120, 21, 67, 66, -73"
values_94,15,"{84, 110, 2, 11, -126, 7, -39, -40, 96, -83, -103, 18, -109, 16, -84"
values_90,32,"{32, -53, 124, -127, -117, 21, 25, -118, 80, -97, -59, 28, -64, 56, 66, -10, -126, 116, -6, -99, 35, -76, -53, -54, -62, 4, 111, -29, -77, 59, 77, -127"
values_52,2,"{107, -126"
values_78,7,"{99, -76, 49, -61, 114, -41, -87"
values_20,2,"{108, -38"
values_53,30,"{-29, -110, 77, 63, -73, 117, 77, -1, 56, -69, -47, -31, 10, -91, 115, 48, -92, -124, 95, 93, -62, -64, -120, -84, -49, -123, -75, -23, -83, -109"
values_43,22,"{-79, -23, -82, -20, -121, -124, -99, 45, 89, 25, 65, 85, -107, 116, -118, 58, -128, 65, -6, 8, -79, -57"
values_42,6,"{77, 123, -72, 85, 62, -66"
values_0,29,"{86, 68, -63, 16, -89, 13, 25, 126, -64, 31, -120, 48, -13, 122, 43, -113, 110, 39, 119, 100, 43, 85, -47, -73, 83, -79, -32, 43, -38"
values_61,19,"{-89, -49, -56, 64, -71, -111, 34, -107, 73, 124, 52, -8, -43, -16, -19, 59, 27, -40, -76"
values_97,25,"{58, 1, -46, -87, 93, -63, -46, 45, -53, 33, 107, -74, 124, 15, 104, 18, 0, -71, 110, 22, 26, 80, -119, 15, -47"
values_14,11,"{121, -114, 22, 50, -73, 3, -82, -98, -40, 126, 69"
values_87,3,"{-111, 77, -86"
values_50,11,"{-117, 38, -76, 112, -98, 99, -104, -65, 34, -4, -15"
values_83,7,"{78, 116, 62, 85, 41, -44, 109"
values_67,18,"{-101, 15, 60, -78, -47, 20, -37, 72, -109, -76, -50, 125, -2, -37, 124, 121, -13, 62"
values_86,32,"{-50, -9, -29, 50, -123, 11, -17, 14, -126, -90, -20, -33, -58, -24, 64, 31, 27, -14, -9, -78, -79, -120, 57, 88, 32, 105, -68, -79, -33, 23, 39, -75"
values_23,22,"{121, 123, 64, -40, -43, 126, -120, 115, -19, -100, 110, 6, 81, -33, -3, -20, -22, -94, -10, 100, 29, 18"
values_64,32,"{-116, -27, -34, -43, -107, -55, -25, 78, -99, 55, 69, 53, 99, 23, 112, -74, -23, -52, 100, -31, -106, -86, -88, -126, 91, 98, -86, 10, -22, 41, 118, 124"
values_44,7,"{21, 120, -120, 41, 48, 46, -32"
values_71,24,"{-105, 96, -122, 61, 28, 78, 19, 61, -113, -48, -1, 67, 15, -57, 52, 83, 60, 69, -46, -56, -77, 38, -100, 84"
values_93,11,"{-116, 101, -38, -118, -66, -101, 60, 18, -81, 14, 53"
values_88,30,"{-99, -36, -56, 39, -38, 67, 26, -90, 37, -110, 80, -56, -105, 44, -99, 44, 23, 7, -118, 102, 45, -11, -28, -67, 70, 126, 102, -56, 29, -70"
