inputName,n
values_84,9
values_30,24
values_96,27
values_15,14
values_16,17
values_94,22
values_90,18
values_52,4
values_78,16
values_20,4
values_53,15
values_43,32
values_42,22
values_0,15
values_61,16
values_97,30
values_14,27
values_87,7
values_50,28
values_83,28
values_67,22
values_86,30
values_23,13
values_64,11
values_44,18
values_71,12
values_93,2
values_88,30
values_26,6
values_59,17
values_57,14
values_82,17
values_75,17
values_51,21
values_7,24
values_92,30
values_56,3
values_47,29
values_95,29
values_98,13
values_8,4
values_18,27
values_28,4
values_81,21
values_17,6
values_38,3
values_41,13
values_73,3
values_66,19
values_58,27
values_70,20
values_46,17
values_11,15
values_33,16
values_72,11
values_6,19
values_10,8
values_27,30
values_24,11
values_3,28
values_69,26
values_36,18
values_21,31
values_5,30
values_49,26
values_1,21
values_2,28
values_13,14
values_32,8
values_39,16
values_4,22
values_65,18
values_85,6
values_62,13
values_91,3
values_25,18
values_63,21
values_12,13
values_79,4
values_54,26
values_9,29
values_74,18
values_22,32
values_89,29
values_48,14
values_99,23
values_60,22
values_34,32
values_31,14
values_37,2
values_76,23
values_19,32
values_45,26
values_68,31
values_35,9
values_80,2
values_77,30
values_29,2
values_55,10
values_40,3
