inputName,idum
values_84,-12725
values_30,12781
values_96,21362
values_15,23142
values_16,-17559
values_94,18479
values_90,-13691
values_52,-6524
values_78,31377
values_20,-30014
values_53,-7628
values_43,-6108
values_42,-8604
values_0,19328
values_61,-28074
values_97,-23047
values_14,-20727
values_87,-18310
values_50,-32134
values_83,13871
values_67,10091
values_86,23903
values_23,20756
values_64,28334
values_44,25301
values_71,1567
values_93,28481
values_88,-9978
values_26,-3512
values_59,1406
values_57,24284
values_82,2444
values_75,21744
values_51,-7125
values_7,26058
values_92,-9022
values_56,14486
values_47,-23329
values_95,30969
values_98,32065
values_8,31458
values_18,-22868
values_28,24992
values_81,-16892
values_17,19613
values_38,13695
values_41,-4704
values_73,-25529
values_66,-19024
values_58,8528
values_70,30408
values_46,8211
values_11,-26748
values_33,-8314
values_72,953
values_6,15157
values_10,15808
values_27,-17337
values_24,25060
values_3,-24939
values_69,-3003
values_36,-21716
values_21,19861
values_5,-11987
values_49,4492
values_1,19279
values_2,22798
values_13,-27849
values_32,19514
values_39,25896
values_4,18799
values_65,29778
values_85,-2754
values_62,12088
values_91,11598
values_25,-15075
values_63,2141
values_12,-13448
values_79,-27104
values_54,32384
values_9,-26327
values_74,-28496
values_22,29854
values_89,-24443
values_48,11649
values_99,-8363
values_60,-31864
values_34,-17120
values_31,17263
values_37,-5375
values_76,-27691
values_19,3472
values_45,31818
values_68,2450
values_35,-18432
values_80,-8054
values_77,29249
values_29,32206
values_55,10388
values_40,-29334
