inputName,k,size,arr[size]
values_84,2,22,"{930815892.158, -1642056909.651, -831243758.147, -1268516153.333, -601435742.542, -1673919736.199, 136292778.799, -1765929953.843, 692356784.733, -977082509.536, -2012831887.676, -144985727.865, 2034552237.327, -498187820.354, 1443872358.932, -1747515301.552, 1756772321.823, -420764482.784, -176851386.133, 683202487.868, 822123711.304, -1912877993.832"
values_30,2,7,"{-33655937.534, -1247578994.403, 11359919.468, 1552156582.429, -319121354.536, 1053241551.468, -1278229064.769"
values_96,2,31,"{-680661059.198, -178269972.459, -2074327551.905, 2017468389.053, -1510660399.995, -770235205.117, -1733037154.674, 1507628116.053, -96144096.771, 1174496813.358, -71404399.815, 691892370.185, -541707759.213, 267612285.111, 1800913913.381, -1730893170.876, -914437488.163, 1901786018.383, 1087487395.03, 1764657542.579, 57970918.318, -1064791033.502, -365037247.104, -1491359937.919, 864752926.834, -1569614657.158, -452828648.589, 1888597915.664, -1014683133.282, 1627304529.527, 1575887349.503"
values_15,2,3,"{1974457565.658, -407860302.316, -1380673147.428"
values_16,2,21,"{-545899127.646, -957057321.896, 18416014.211, 1043396948.044, 2004100483.216, -92073368.477, -1148498600.17, 1331456031.874, 1751723904.158, 672864797.652, 1924606425.598, -1055513268.88, -619774581.965, -1875715895.331, 855063444.879, 1578220845.265, 1120400132.491, -1845963567.25, 1236571094.631, -1127825113.449, 398620669.891"
values_94,2,23,"{1247136527.236, 882983867.119, 780158306.676, -1039767100.779, 233557417.466, 1584234495.51, -574822530.176, -1553221789.167, 1875401406.632, -2077248461.452, 150367504.473, 100808992.835, -2080360353.19, 816328928.16, 469473056.906, 575883073.628, -762711156.833, -2078251526.068, -677913710.063, 1722209929.834, 1870033050.737, 3857006.362, 1032815484.404"
values_90,2,24,"{1425243991.057, 1329204151.48, 49393108.072, -1928451002.387, -1123193758.598, 1314410157.78, 493133196.358, -1648203123.551, 1038984595.115, 466864390.221, -1872594131.457, -1505635085.683, 1731868163.634, 1114920908.128, -306707799.048, -1260195017.226, -1205002617.971, 1255824408.09, 143518115.495, -201227361.122, 729643441.265, 601577520.525, -1178988179.7, 1335834056.628"
values_52,2,4,"{528052306.275, 1294296924.854, 106892672.322, 1064294563.929"
values_78,2,29,"{-115253843.567, 1483192346.069, -400636810.969, -1290350344.545, 337196249.623, -1219062294.998, 554449262.957, -3339805.683, 749027105.41, 675294811.189, 1894933865.996, -368802574.007, 921396465.553, -793994034.208, 336768147.233, -1874530875.019, 56627768.44, 373166421.859, -404249461.399, 1340409414.321, 1430868213.518, -285600243.202, -1163565008.885, -1675724705.87, -1573748654.517, -1566187424.116, -895785058.144, -27658119.342, -1084720743.616"
values_20,2,10,"{-771183000.024, 228312838.748, 14632298.187, -239546141.671, 2127739298.611, -2070667822.384, 622313041.786, -927208559.828, 1690373143.76, 1276646030.506"
