inputName,size,arr[size]
values_84,26,"{-3222250934117202442, 1707300693538530725, 6001795017718779279, 8496937368293242727, -6755941110568178944, -6245439062184495655, -7398799772783701461, -3415116079313853101, -1748279508554500484, -6456162803637663947, -418108714177020930, -8135406404953101768, 5842322427018921820, 3586678105250977359, 9062555323121095827, -2571346550964978390, -9054382943930084953, -133675313501172351, -6525831258284209914, -7264018821838738436, 7500971814975614149, -8221570209110582657, -1953533481301358190, -5857226303340700498, -4685859442453475947, -7895035977223643314"
values_30,26,"{-9073070395570822463, -3309768106026939087, 244569306760962895, -3945963973986400002, 7532126528637365252, 3550070959052310724, -5687432596497047853, -6019658114112530354, -6891636302862251678, -4856124631140177638, 6168007195560297129, -1904856576377304263, -3805739577303744968, 3100489932592412723, 1162690843999393261, 6703331942420825686, 4398872364408745175, 3305212292847370740, -2508195245369100017, 5484048962887037063, 7932558881328438501, -2578508121078697611, 2843428333637327495, 7804788355652356018, 4662475744975089247, 4215281777659648646"
values_96,30,"{7561893137769058435, -6485306403859988409, 7053171283037303898, -1921738308218720049, -5593289124493083466, 8353711729545426976, -7578804355924179738, -7497414664060802934, -4269588015055391511, -860484788427820670, -5255661909272428410, -7264675155322299081, -1452294904790260627, -7812311851360824894, -8044210396670330791, -8131893862301335238, 510018868188020178, -3200113529396255319, 5392361955861261473, -4919413630979635849, -1759778965752811181, -1756364691375786271, -6828761038994605406, -3221562511150811982, -9126493124527464848, -2710419641520679738, 537023669744761438, -3913429332391795365, 2829355862395241464, -704378921488931895"
values_15,27,"{-6751253724109071792, 2783996947133417533, -6051767904387568078, 3238471510673353908, 6742872207550818265, 7006115414865089025, 1713448405745238434, -6430439391475863867, 1202814530849803470, -5232507079872917305, -7356747470148696256, 7535563992161209506, -6308081350883815952, 3142241931776664720, -3067552320359352130, -6571937656753843724, -8378888598279153699, 4621710886583418771, -3721662207480913538, -1304812991612200612, -2052099045184506515, -2849688220511438624, -2234071340770746199, -5773338997436913566, -1308733046473323855, -6728342381490109546, -9109734621865034106"
values_16,2,"{8419882314814972110, -1561426561203020667"
values_94,11,"{-8570087584004177918, 5834525795022628117, -7876222665880603543, 934463106960478653, -580248919881597011, -15829451660684817, -4301533893438056309, 6166735019861960939, -5575112509828708389, -1186928922373384147, -7146155292578766829"
values_90,24,"{-7826514114038553011, -7089192632417612723, 59085901438186159, -77526316493502092, 6838352868825153982, -4576711077841803603, -5104439568433017007, -3033100984952798846, 2382551266609052411, 2236518533663190074, 4125395252167902317, 8222069213682998497, 5301888670090866354, -4450357429916504952, 151964732425462632, -8371841049737177529, 8227628206302529954, 3970796381800065608, 5670700152260872891, 8218438818802559793, -2207656620729176947, -7387005567145451999, 518964458389223845, 5261367864943129686"
values_52,11,"{-6802768587921381340, -3065106118315768610, -8256105373637135744, -54779921121740575, 2086583397154619258, 4235118147815588865, 6880401037720021907, -4048246203890391553, 7710040367514174341, 6347484904004233415, -7882855073558305125"
values_78,20,"{6970443829573192874, -1694302272320104113, 9165304932638341319, -5249514478057191964, -4429866536460510633, 5986422139366308388, -1591051731108355668, 5499143502909329462, -5298478591558188503, 1919819671840127070, -7355386156124504025, 6462003925096371517, -8305511034293688481, -3470112253149500624, -2708094170772115039, 329751964526916294, 8035749798712397105, 7379292313627934970, 2219036452162838420, -4637117044362072166"
values_20,9,"{3196335443386959070, -2864968036009248952, -3305574731825740056, 6130036486224077354, 8927468561786228286, -2386119394197714666, -8625896961590004749, -4177241865118599786, -704933929332569416"
