inputName,size,arr[size]
values_84,20,"{602411640, -1555421236, -1083047342, -1548624786, -1763664715, -1660787472, 1613880784, 393284878, 342721889, -66840943, 992949531, -309749763, -1512484097, 2017359181, -1787292201, -700180093, -431895671, -1527207790, -2130275795, 1954666085"
values_30,6,"{737581871, -1611443863, 689306489, 831889368, -1807017540, -134540915"
values_96,20,"{-37768795, 1420395883, -18973525, -1318974377, -494032283, -980312469, 1211781537, 69704631, 1056195170, 532775411, -410993372, -1186424586, -171668955, -615940471, 1015006402, 635952845, -675804476, 855435003, -1470428814, -1253379734"
values_15,23,"{-2087797210, 513745891, 1251202397, 2019539652, 327222697, 1406763957, 1377711230, 1112582444, 648614190, 970305831, -690117147, -121279438, 1991153548, -1213927956, 1200413014, -1647048314, -1447236674, 1321966759, 925081250, -915636583, 857090215, -872130438, -1304027482"
values_16,26,"{1393124258, -1647390828, 483394949, -1201235396, 614575952, -1753761501, -1664945362, -627385826, 790897718, -1475366016, 1511772549, 882864259, -1131434367, -1125185991, -428534210, -1266578703, -740874941, 928863429, -2121684285, 1563030497, -1356765935, -1825614126, -645141126, 1601698859, 1013419056, -1884919872"
values_94,10,"{-1565294407, -1061663528, -1346087163, 1336492683, 594150672, 847104520, -1179060488, -1451448162, 718188509, -255273391"
values_90,30,"{314255878, -1608003382, -1985734442, -18895974, -796201084, 157945303, 605263207, 818278727, 1009618490, 1797594065, -197544969, 1844066046, -1300341243, 865968929, -792490385, 439055616, 978485521, -1454560732, 1580518514, -1248952587, 2132726921, -951079600, -1644928165, 736729572, -1443015430, 1881815330, 863339855, 1944593002, -256269347, 1431742808"
values_52,20,"{2032966163, 1095295023, -1629168937, -1099020861, -1298898187, 56290929, -366369799, -1949275269, -1683581061, 422937104, -263482857, 655192165, -974490931, 1206047151, -1663064738, -1567657692, 944849198, 228851279, 1915349352, 82502619"
values_78,17,"{1751712073, -1130575378, 995464074, 2074578486, -1941650337, 1422781564, -1169176861, -695054742, -2130423951, -1451303773, 1936707851, -833076312, -143451118, 224855736, -744892545, 1720612793, 607136747"
values_20,16,"{-197957443, -611385579, 955080192, 1815777282, 1141490763, 831115908, -2088482885, 1656597355, 518692907, -473736023, -1099176896, 1885919210, 841189825, 114067076, -536792917, 95720432"
values_53,22,"{1804691635, -1644654349, 347492299, -2028040315, -1074644208, 2032526936, -2008366151, -773477467, -1652403648, -1387509454, 1284484352, 1697473735, 1377565625, 468837584, 652818979, -611217969, -856176851, 863422826, -159421277, 615799793, 674319552, 1377836013"
values_43,5,"{-1050702189, 530514887, -1538251494, -1845269150, -1237690932"
values_42,11,"{-1875521337, 544107129, -1728600459, 1900242470, 642387765, -979242845, 1860259016, 523754086, -170643332, 343908811, 1966039290"
values_0,28,"{-438076951, 69707842, 234627374, 1838621007, -1551147950, 83684129, 614390997, -727557961, 2099061673, -1847005457, -1022306987, -405786727, 116623896, 1387133443, -1789372534, -716855921, -124430491, 929688981, -1320620196, 722566135, -888307154, 2088070093, -233112916, 216839017, -198843059, 1201643564, 897864677, -1544635407"
