inputName,n
values_84,16
values_30,29
values_96,17
values_15,28
values_16,30
values_94,28
values_90,12
values_52,15
values_78,16
values_20,25
values_53,25
values_43,31
values_42,27
values_0,7
values_61,24
values_97,7
values_14,32
values_87,4
values_50,24
values_83,8
values_67,18
values_86,30
values_23,4
values_64,28
values_44,4
values_71,28
values_93,17
values_88,19
values_26,16
values_59,2
values_57,18
values_82,31
values_75,9
values_51,14
values_7,21
values_92,8
values_56,11
values_47,24
values_95,12
values_98,9
values_8,18
values_18,32
values_28,15
values_81,26
values_17,8
values_38,27
values_41,5
values_73,27
values_66,3
values_58,10
values_70,5
values_46,15
values_11,4
values_33,11
values_72,19
values_6,23
values_10,13
values_27,4
values_24,28
values_3,13
values_69,32
values_36,28
values_21,16
values_5,26
values_49,31
values_1,13
values_2,8
values_13,23
values_32,13
values_39,20
values_4,5
values_65,22
values_85,28
values_62,28
values_91,8
values_25,18
values_63,23
values_12,21
values_79,17
values_54,8
values_9,26
values_74,23
values_22,32
values_89,8
values_48,23
values_99,4
values_60,28
values_34,26
values_31,18
values_37,16
values_76,4
values_19,3
values_45,18
values_68,23
values_35,2
values_80,29
values_77,3
values_29,5
values_55,6
values_40,8
