inputName,n
values_84,24
values_30,24
values_96,13
values_15,28
values_16,21
values_94,32
values_90,3
values_52,10
values_78,3
values_20,24
values_53,8
values_43,21
values_42,8
values_0,15
values_61,10
values_97,26
values_14,4
values_87,32
values_50,24
values_83,11
values_67,5
values_86,6
values_23,24
values_64,11
values_44,4
values_71,26
values_93,26
values_88,7
values_26,26
values_59,15
values_57,19
values_82,27
values_75,31
values_51,29
values_7,21
values_92,21
values_56,27
values_47,9
values_95,13
values_98,24
values_8,14
values_18,17
values_28,6
values_81,17
values_17,17
values_38,14
values_41,20
values_73,26
values_66,23
values_58,7
values_70,3
values_46,31
values_11,21
values_33,31
values_72,24
values_6,28
values_10,13
values_27,8
values_24,27
values_3,31
values_69,5
values_36,11
values_21,7
values_5,3
values_49,14
values_1,21
values_2,5
values_13,16
values_32,19
values_39,2
values_4,5
values_65,13
values_85,24
values_62,19
values_91,27
values_25,31
values_63,3
values_12,9
values_79,30
values_54,22
values_9,19
values_74,15
values_22,6
values_89,24
values_48,4
values_99,5
values_60,11
values_34,12
values_31,28
values_37,19
values_76,20
values_19,17
values_45,4
values_68,25
values_35,20
values_80,31
values_77,12
values_29,32
values_55,5
values_40,25
