inputName,n,key,arr[n]
values_84,31,28,"{-7835, -2216, -10188, 24479, -29402, 28648, 4865, 26441, 31774, -1380, 16057, -17873, -13201, 15670, -25732, 12404, 31930, -18432, 21027, -13438, -2323, -10929, 17326, 6261, 23420, 24678, -22045, 24965, -7663, 9182, -24361"
values_30,14,8,"{-4386, -8883, -875, 31302, -1892, 2662, -29554, -11466, -10085, 12612, -29913, -22208, 14432, -5888"
values_96,4,8,"{15102, -18302, -10957, 19577"
values_15,22,30,"{-24574, 8486, 11049, -9258, 25797, -11583, -21367, -31619, -12967, 7775, -4368, 9608, -8698, 14016, 22153, -14348, 9182, 11864, -30116, 14477, -15262, 8478"
values_16,22,8,"{10593, 22521, 16543, 8032, 5076, -1726, 28838, -26858, -22162, -20766, -19536, 6032, 16892, 21320, -4629, 31344, -20251, 31287, -21808, -3620, -13082, -28568"
values_94,4,28,"{561, -26835, -13131, 3286"
values_90,4,8,"{8752, -19619, 23561, 3723"
values_52,19,20,"{28057, -12001, -9219, -14960, -28339, -16127, 8185, -12512, -18530, -17426, 25211, -10065, -24838, -2327, 25056, -10326, -31614, -25700, -20019"
values_78,14,16,"{353, 28889, -7024, 3754, -7275, 987, -27823, -2719, -14014, -25515, 22122, -7933, -31379, -6284"
values_20,18,8,"{-20579, 23327, 21745, 15883, -30754, 32094, 3131, -16116, 11399, 26566, 9481, -23273, -25660, 5790, -26242, 4632, -845, -7988"
values_53,19,29,"{20393, -11084, -4768, -23681, -559, 23174, 1549, -20360, 24471, -20708, -16992, -12719, 17230, -11572, -27361, 30051, 25943, 23680, 24597"
values_43,27,29,"{28440, -25426, -18124, -345, 383, -23242, 8644, 6101, 21225, -23324, 17411, -23278, 12475, 4009, 26738, 22618, 20459, -16206, -31424, -14226, -3275, -15178, 23830, -5289, 960, -27339, 5681"
values_42,27,20,"{-32674, -6913, -20418, -26522, -23291, -29389, -11865, 4369, -18344, 32225, 32218, -5174, -19708, -7925, 1144, -32219, 7932, -14737, -28901, 15293, 6898, 19263, 16087, -14899, 12124, 21139, -8911"
values_0,17,8,"{-5752, -28575, 9870, 30738, -13588, 1273, -8644, -5782, -5643, 28474, -3364, -5051, -30424, -4081, -507, -2887, -5716"
values_61,23,7,"{-15135, -21178, 19433, 4115, 1071, 24462, -18206, 18633, -1508, -16390, -29131, 17832, -24809, -27027, 26428, -32479, -2490, -10039, 15044, 18706, 7084, -29721, -6880"
values_97,4,18,"{-5208, -2753, -6152, -26946"
values_14,22,28,"{-4829, 23373, 1389, -1425, -4611, 783, -27198, 20767, -24747, 9912, -14517, 28230, 19414, 31491, 16627, -6459, 27409, 22756, 29902, 18742, -13315, -29895"
values_87,31,18,"{28011, -22550, -26276, 29536, 24326, -14629, -27175, 24612, 27420, 15623, -2099, 27950, 19033, 12164, 30933, -19468, 1628, 14405, 18760, -7801, 13110, 7073, 2825, -22213, 127, 13011, -15290, 19096, -26426, -4688, 29790"
values_50,19,8,"{-9649, -12773, 32352, -8612, 29312, -13075, 26404, -17473, -26811, 5776, 31936, -8877, -20458, 17551, -1940, -13596, -5799, -17445, -9073"
values_83,31,29,"{-19153, 24476, -17081, 26255, -30210, 9558, -22817, -30931, 29285, -13922, 31112, -6276, -8456, -1675, 32472, -29074, 7980, 15437, 10390, 22352, -31347, -18579, 28357, -5206, -3143, -13957, 4808, -7954, -17152, 29732, -9022"
values_67,23,18,"{25470, -24519, 32367, -11886, -10861, -2750, 303, -9751, -27259, -28320, 19920, 17849, 6738, -11116, -5224, 21562, 23530, 21502, -18878, -20293, -3954, 7623, 9468"
values_86,31,8,"{14638, 11922, -29076, -24203, 18099, 11071, 21794, -22765, -25119, 987, 20608, -17981, -8119, 28071, -21538, 14019, 21665, 24078, 1754, 11641, -28368, -23272, -32040, -25822, -20401, 30828, 16834, 23801, -19745, 20680, 15638"
values_23,18,29,"{-8579, 8875, 23490, 30843, -22419, -25419, 10479, 7472, 11973, -6159, 25090, 9784, -3991, -26130, 30542, -8542, 12469, 4015"
values_64,23,28,"{9225, -13967, -10960, -31990, -24429, 28826, 7679, 16880, 29365, 8494, -17619, -6275, 342, 19969, -22769, -15178, 20945, 5813, -613, 24326, 21575, 12531, -25562"
values_44,27,28,"{-15999, -3059, -17185, -1580, -11163, -6016, -11903, -6198, -21284, 1337, -3093, -19367, -12566, 25908, -27969, -18946, 5519, 29118, -20144, 13685, 31655, 32158, 11172, -23048, 10106, -5026, -18492"
values_71,14,7,"{-27117, -10936, 22309, 12818, -23745, 9119, 25734, -15512, 30081, 27836, 4609, 21602, -10171, -25399"
values_93,4,29,"{-22886, 778, 5467, -17153"
values_88,31,16,"{-6801, 18079, 13084, -15174, -11167, -32242, -17112, 12394, -5595, 7170, 19899, -19198, -9591, -11566, 23200, 3670, -18992, 15196, -5376, -20425, 8767, -840, -7517, 831, -1061, -25688, 29089, 7972, 1287, -10565, 16642"
values_26,18,8,"{22274, 15249, -16059, 24097, -1090, 24458, -22256, -15182, -5210, -23741, -2283, -13838, -3440, -22015, 5110, 30489, 23752, -8422"
values_59,19,9,"{13320, 11933, 25273, -20822, -16846, 15595, -7615, 15709, 13330, -26856, 15313, -18137, -23566, -4564, 3621, -19532, 20897, 31199, -3958"
values_57,19,18,"{9605, -5690, -24378, -10463, 22788, 16061, 19530, -17153, -29988, -8610, -18790, 2582, 15865, -2315, -26229, 3775, -23666, 6934, 32102"
values_82,31,20,"{5659, 17492, 22131, -28396, -2867, 938, -32059, 20998, 15922, -32412, -20590, 21987, -5258, -13417, 24628, -15180, -13732, -10180, -20976, -708, -26026, -2418, -3222, -30460, -27117, -20541, -10576, 18960, -12754, -26177, -12543"
values_75,14,30,"{-20138, -1436, -4455, -22350, 10238, 27507, 23425, -15550, -10540, -2700, 22043, -7781, 24546, 31325"
values_51,19,7,"{15075, -4995, -9765, 3754, -8427, -2371, 14652, 16251, -12385, -4371, 28791, 12246, 32032, 15726, -18467, 32718, -14535, -602, -18003"
values_7,17,18,"{22640, -30051, 30869, 31719, 1096, -24642, 27458, -3139, 29803, -8899, -14147, 31064, -27435, -32254, -1453, -9711, -27165"
values_92,4,20,"{-7217, -32678, -7310, 27903"
values_56,19,8,"{-25970, -7535, 15616, 13530, -28499, 6261, 12955, 31285, -3066, 25598, 10322, 7993, -31456, -13037, 419, -17603, 11339, 12373, -457"
values_47,27,18,"{9860, -3907, -27296, 27273, -2769, 19703, 14795, -28442, 17590, 13089, 23546, -26786, -30228, 7743, 11357, 1526, -9091, 24185, 32734, 29768, 16106, 6482, -5096, 12156, -24475, 188, -12646"
values_95,4,30,"{-12416, 12392, 9576, -5451"
values_98,4,16,"{28819, -26292, -11176, 32409"
values_8,17,16,"{8188, -29720, -18043, -30627, 32435, 27091, 25957, 3912, -19096, -15378, -28249, -30710, 13196, 9045, 11938, 16740, -12817"
values_18,22,16,"{30602, -29109, -16849, -31605, 15704, -6974, 30730, -10577, 30916, -11321, 7754, 14061, -31793, 9348, -28211, -643, -6472, -12833, -2447, -1086, -25104, -16564"
values_28,18,16,"{-6450, -9080, 3010, -23753, -16772, 16610, -13042, 17429, 30163, -10465, 12348, 25239, -25825, -31739, 23785, -24068, 4782, -5465"
values_81,31,7,"{22102, 1889, -6716, 8306, 26144, -7318, 4435, 10544, 24182, -29271, -11854, -26727, -24657, -6286, 18411, 21760, 27989, -9846, 8458, -22583, 13915, 26283, 6994, 27649, 21027, -17679, -26239, -12971, 2081, -13290, 21660"
values_17,22,18,"{-25381, 1373, -1911, -21877, 31641, -21265, -32624, 6947, -23257, -10855, 17128, -12763, 28434, 11709, -18959, -2092, 2413, -18571, 13160, -4826, -30617, -10632"
values_38,14,16,"{-11100, 17304, 20295, 8853, -14229, -21985, 14967, -10976, -28358, 16131, -7716, -246, 6675, 28061"
values_41,27,7,"{2594, -18953, 3106, -1156, 15920, -32510, -27854, 28628, -17873, -10146, -16039, -21329, -26397, 13630, 21354, 22107, -26286, -25719, -25408, -32456, 31491, 32640, 28149, -5138, 24537, -2120, 16396"
values_73,14,29,"{-20380, 27897, -27266, 14815, -27950, 22420, 14515, 24926, -10972, 24811, 16578, 15701, 5303, -15646"
values_66,23,8,"{7793, 13856, -11910, -17297, 2298, 26916, 22226, 28224, 6026, 29001, 4047, 20252, 16872, -22350, -4532, -2294, 24679, 12737, 12979, 3467, -30358, 22661, -4075"
values_58,19,16,"{-11076, 24982, 16582, 14069, -7709, 5238, -14270, 8263, 29785, -13285, -14176, -24391, -2529, -6163, 18428, 25246, 11139, 22282, -6980"
values_70,14,8,"{15014, 30807, -8566, 15854, 31234, -22194, 19395, 18440, 25776, -2576, -29650, 20800, 8089, -5320"
values_46,27,8,"{-7250, 10908, -14848, -8433, 21432, 11483, -1973, 2224, 7002, -23048, 4733, -28315, 24251, 19249, -11946, 10553, -28993, -28017, -6519, 28024, 10186, -18310, 12934, 12525, 2985, -6021, -25261"
values_11,22,7,"{-27952, -22051, 10771, 24578, 7871, -26646, 26235, -26296, -28731, 12647, 14275, -10407, 165, 22425, -7425, 31924, -1864, 8132, -29288, 28495, -27702, 13517"
values_33,14,29,"{-3104, -30161, -28544, -20418, 8687, -29172, 21677, -1211, 22042, 5187, -6915, 23519, -32180, 29886"
values_72,14,20,"{-3701, 20765, 1223, 10098, 31875, 9636, -304, -20649, 5114, -10919, -2509, 31489, -24524, 16632"
values_6,17,8,"{12681, 7541, -32702, -28899, 32289, 32443, 4279, -32708, 27357, -13134, 25929, -10752, 15116, -19029, -25607, -5158, 67"
values_10,22,8,"{-26570, 6843, 11996, -25469, -19209, -18560, -24214, -8166, 7290, 21494, -2086, -3813, -10760, -11787, -14327, 24956, -18428, -29469, -31382, -15052, 31949, 26365"
values_27,18,18,"{17564, 23837, 28852, 29726, 11020, -5626, -10527, 17255, -21435, -13563, -16361, -1951, 13537, -19390, 32175, 24637, -25788, 354"
values_24,18,28,"{-4059, 18646, 28638, 12640, -30086, -3971, -3507, -30138, 12458, -7000, -18381, 6181, -27674, -2273, 3372, -13116, -7642, -28302"
values_3,17,29,"{-2313, -19143, -3296, 2495, 6159, 14373, 26976, -27790, 14124, -2816, -22046, -6615, -13248, -13617, 13591, 21075, 12537"
values_69,23,9,"{-30776, -6943, -8278, -1111, -4024, -25631, -9353, 10907, -26410, -906, -27714, 9974, 18877, 26364, 28077, -11429, -23161, -27712, 22949, 18201, -20988, -11467, 6146"
values_36,14,8,"{20131, -27933, -16872, 15276, -10833, -3875, -17835, 11965, 9529, 22803, 17131, -8330, 20357, 31573"
values_21,18,7,"{14545, -2158, -3626, -558, 20305, -32237, -28677, -4985, -20404, -23799, 9348, 3721, -13278, 29509, 17761, 7245, 19237, 26994"
values_5,17,30,"{26861, -10237, -8581, 10907, 16689, 26927, 3400, -2678, -5145, 8073, -390, -3249, -31464, -3046, 24176, -7972, 11021"
values_49,27,9,"{31874, -789, 21478, -15175, -32410, -19534, -15019, 4174, 4245, 15548, 13300, 30024, 25749, 16404, -7876, -21222, -7020, 10510, 27926, 21359, 27098, 4776, 4960, -15032, -10323, -24021, -10745"
values_1,17,7,"{-30108, -18571, 28262, -25076, 14288, 17003, -5561, 21402, -28625, -26205, -695, 29007, -13483, 3454, -20957, -6031, 10038"
values_2,17,20,"{2510, 21417, 6535, 7891, -31053, 30591, -18640, 20977, 12215, -20554, -23072, -28091, -18277, -22270, -22, -27968, 6959"
values_13,22,29,"{-30650, -1076, 21205, 24408, 24248, -6691, 30731, -9958, 6159, -13387, 16071, 2004, -31034, 29100, -31661, 31040, -23643, 26333, -22871, 10505, -18729, -4090"
values_32,14,20,"{-7426, -32709, -24338, 12436, 20098, -5860, -1515, -28376, 400, -28418, 4224, 26365, -28050, 6972"
values_39,14,9,"{-28800, 12756, 22355, -22248, -26865, 833, 25577, -29074, 14672, -2593, 2453, -11342, -1010, -23385"
values_4,17,28,"{27982, -30750, 17993, 29943, 7014, 3972, 17083, 27519, -2056, 29926, -16343, 29957, -16735, -3484, 2517, -26792, 5346"
values_65,23,30,"{-31128, 9225, 1850, 28616, -10361, 24735, -1712, -4462, 19560, -32602, 6067, 441, -27852, -20136, 22767, 23543, -29065, -29140, -6484, -25578, 26241, 7759, 14208"
values_85,31,30,"{-23492, 16485, -4720, 11558, -14974, -17718, -14691, 10691, 5290, 18279, 14970, -15065, -4662, 7419, -7112, 13537, 9942, 21365, 15353, 25954, 6677, 2061, -22900, -4828, 28021, 19883, -23578, 25676, -457, 1509, 912"
values_62,23,20,"{-28415, -32034, -578, 8667, 18041, 11907, 31787, -17088, 9036, -3999, -32427, -12111, -30575, 19899, -19919, 28350, 8209, -4695, -11468, -2027, -11369, -30390, 17643"
values_91,4,7,"{-21780, -31433, 20635, -1043"
values_25,18,30,"{23092, -1968, -26520, -20478, 27601, -3147, -8385, -26385, 22366, 18433, -20102, 22290, 25218, -5664, -11561, 9870, -11313, -6789"
values_63,23,29,"{3219, 20466, -20355, -10275, -20452, 3897, 9503, -17536, -12642, -22433, -7345, 15395, 12587, -24757, 14240, -17785, -2010, 24536, -7998, -28785, -23113, -10010, -5608"
values_12,22,20,"{-18146, 13211, 9583, 2217, 27592, -28612, -10198, 13574, -6998, 29086, 23253, 18123, 7468, 12005, 8566, 23173, -8953, -19401, 11006, -7020, -25109, 16929"
values_79,14,9,"{27646, 31148, 30991, 7479, -5961, 5881, -25342, -2673, -1328, 78, 31768, 7572, 27859, 20066"
values_54,19,28,"{146, -29041, -20861, 7897, 21295, -29508, 19371, -29088, 28835, -10184, 24285, -12517, -20541, 17570, -2137, 29684, 12595, 1320, 1830"
values_9,17,9,"{-29450, -30069, -6023, 8739, 4085, 15226, -1570, 1394, 7032, -23283, -32062, 492, 32673, -6540, -18942, -17442, -20238"
values_74,14,28,"{-24073, 20233, -19463, -20882, -30262, -8926, 13443, 27398, -28361, -12015, -16351, 10425, -20810, -14551"
values_22,18,20,"{-11498, 29048, -7895, 440, -15700, 4408, -9122, -8439, -1978, 16003, 13980, 15761, -13086, 4680, -28481, 32648, -5090, -26048"
values_89,31,9,"{-27637, 5214, 6705, -21738, -9633, -29828, 8208, 24860, -30717, 26075, -10434, -20588, -29393, 9819, -22943, -2580, -25919, -31558, -31874, -970, -6217, -29209, -10569, -137, -12626, 17317, 10481, 6332, 23395, -24550, -384"
values_48,27,16,"{-29915, 3296, -16050, 19122, -475, 2388, -22201, -17608, -22937, -28717, 1839, 23624, 7983, 24583, -28876, -31997, -24443, 26759, 12978, -21596, 32462, -6987, 1027, -4246, 25222, 24581, 13857"
values_99,4,9,"{1727, 27053, -20814, 7314"
values_60,23,8,"{-31201, 15009, 30549, 6424, -29644, -26911, -5909, -7556, 15573, 8301, -4301, 31355, -9267, -2740, 18066, 3351, 31489, 30918, 30691, 23691, 8838, 14505, -27904"
values_34,14,28,"{-6904, -19719, -13318, 32268, -15914, 16582, 3305, 28376, 18495, 22016, -6283, 6410, -7443, -3390"
values_31,14,7,"{-17676, 13702, 20204, 1085, 24957, -14768, -19051, -22316, 22817, -6951, 11831, -11422, 15124, -17356"
values_37,14,18,"{30504, 23782, -4492, -13760, 16454, 31040, -4918, 1662, -22762, -9144, -5036, -31243, -12742, -23697"
values_76,14,8,"{30283, 2555, 30113, -28009, -29054, 20714, -15996, 18043, -24539, 5577, 16820, -8641, -10107, 18101"
values_19,22,9,"{8378, -19283, 1859, -11387, -18295, 30377, -12136, 15917, 19761, -11096, 29322, -18385, 3669, 32125, 17051, 8140, 7252, 30586, -16150, 20692, -26919, -23180"
values_45,27,30,"{-22800, 12488, 19061, -21322, 29368, 16279, 3869, -1471, 965, -3545, -12700, 7503, 6451, 13709, -9539, -32284, 17991, -24015, 27718, 4377, 13041, 31452, -23009, -9511, 25367, 14527, 26353"
values_68,23,16,"{6153, -32550, 30179, -23503, -31182, 17427, -2534, -10522, 13405, 6505, -23082, 18139, 8610, -15329, 1230, -30771, 11762, 16889, 1084, -24567, 17775, 26940, 22598"
values_35,14,30,"{4124, -23059, 31699, 5130, -28660, 21200, -31754, -11163, -15643, -25103, 9155, -13470, 21875, 27842"
values_80,31,8,"{-17110, -30506, 16326, -13886, 8402, 20395, 16271, -17254, -587, 3615, 269, 23240, 5422, 29688, -25280, -24587, 30895, -24283, 2249, 3451, 26924, 19617, 16766, 24360, -27956, -19292, 6632, -15074, 56, 17674, 7497"
values_77,14,18,"{-12999, -4625, -7523, 3847, -9571, 21843, -10000, -24492, -28055, -17857, 4626, 28705, -28558, 14073"
values_29,18,9,"{-6947, -13561, 22068, -12115, -1579, 403, -1121, 7889, 8966, 17324, 20831, -4702, -16102, -3429, 29422, 20488, -28888, 13568"
values_55,19,30,"{-24534, -27489, 15693, 2209, -18643, -31139, 3923, -14299, -19424, 17613, 21004, -11981, -25503, -8654, 1258, 26299, 23801, 10697, 7022"
values_40,27,8,"{-3429, -20478, 22703, -22194, 17021, -15206, 18318, -18615, 20691, -2117, 28076, -6065, 15687, -2232, -10852, 10022, -17366, 16473, -30713, -18354, 5077, -27680, 1348, 11927, 14147, 8977, 4470"
