inputName,n
values_84,21701
values_30,2435
values_96,27763
values_15,237
values_16,15245
values_94,13353
values_90,17504
values_52,3538
values_78,24460
values_20,531
values_53,7887
values_43,9227
values_42,30668
values_0,19271
values_61,12495
values_97,5661
values_14,31674
values_87,6911
values_50,23473
values_83,17095
values_67,7935
values_86,22040
values_23,8736
values_64,23667
values_44,23962
values_71,11248
values_93,13157
values_88,19600
values_26,21905
values_59,8445
values_57,28417
values_82,17643
values_75,15613
values_51,3312
values_7,26939
values_92,4012
values_56,17518
values_47,3386
values_95,13287
values_98,30110
values_8,28107
values_18,23880
values_28,21749
values_81,20100
values_17,2007
values_38,9447
values_41,14993
values_73,10558
values_66,16606
values_58,15174
values_70,31073
values_46,3820
values_11,1573
values_33,22397
values_72,19088
values_6,8059
values_10,7200
values_27,28097
values_24,26688
values_3,16395
values_69,8304
values_36,9446
values_21,5312
values_5,5933
values_49,27456
values_1,8376
values_2,15128
values_13,22366
values_32,4463
values_39,9226
values_4,27287
values_65,8443
values_85,3531
values_62,26697
values_91,6133
values_25,19059
values_63,5420
values_12,17132
values_79,19439
values_54,13459
values_9,28133
values_74,14030
values_22,11997
values_89,5244
values_48,12564
values_99,15892
values_60,15017
values_34,24649
values_31,16322
values_37,19424
values_76,14748
values_19,29696
values_45,4867
values_68,12627
values_35,2333
values_80,31104
values_77,4884
values_29,22519
values_55,893
values_40,21035
