inputName,k,size,arr[size]
values_84,2,23,"{-6616197702192307093, -5591295834744088316, 4457423847156325637, -5480885989125092653, -716545207864825292, -1097198311591216668, 565852973019757041, -1365769912739647354, -4743173651584845796, 8011987856027730216, 1043932105175938272, -1037395150413080957, -1900909872794592750, 6856111683477845455, 5923673747878288645, -5852444898413416053, -6982721267618526861, 9199956177569452160, -566479782439665305, -8267366059773925822, -3230509953124178665, -5537810230048270693, 5240338617064207541"
values_30,2,13,"{2101813043918132249, -2206518724362294635, -1299410923100570681, 6886279020733351136, 793212420605891321, -8454474865396994665, -4995778338520034429, -3350509857005865702, 7523166294041987084, -3156054574754349151, -5352981076253421095, -7496437000232654286, -4501679321372474729"
values_96,2,17,"{7420234141427599873, -5198145018704502060, -5853621581684376609, -1717510078376385823, 7720777474221417177, -2391932530009279147, 855547533659863556, 7734585179727755668, -3316121868103223755, -8224790341928464981, -2686672042075603502, 1182393475852375482, -145021769003700566, -6010750392689756624, -7886859304223606655, 1561456719162585970, -4813189824675514062"
values_15,2,20,"{-8287105625486317561, -9207685218300987678, -1459267118601539666, 7369768733814461045, -2957856201117077204, 4866119180937816976, 5917627343895795275, 901197500350980284, 1503915022292207411, -6862860658330503939, 6967542156371945138, -3700296745327323353, -4200198002164314899, -4781043733722869996, -5581308655523932951, 2168244465680601988, 5179300250963229529, 2715130673745442460, -8495815517766707310, 4686867725646999417"
values_16,2,27,"{2453653141433059011, 6485340852026774856, -2159147320324465100, 2010905668453467066, 3326040619574153991, -4593645797296757978, -3306504526137790056, 6371986803491945526, -4117837305675214348, -71742882393330425, -7746558362440708232, -1650299131880882992, 6603792440310012969, 5520906097101220569, 281757915439276997, 1082029060399966373, -8401634278415807703, 3446481494481986647, 6183122994623004848, 5252095570656262082, 8064504987282684665, -3955341047856877143, -4836268277718286820, -5522728052213001010, -3583043382375104933, 5634151630176705797, -8079512201535361064"
values_94,2,13,"{-8518089503773158225, 1166680890900325408, -267643343842354711, -2881522291133248456, 5700410001082729349, -431602984097522016, 4220216933002834054, -6744389020344487615, -814239121351953943, -3245029280511579637, -5639272963722998554, 4861512651250255739, -612513188374878737"
values_90,2,25,"{-7798128753271334595, 5547805966493081294, -8142399965537917606, -8295924785114520739, -7817224325444615950, -2051374050657940380, 5166634638441138009, -7314166345206707784, 7787098741929133171, -8539184784688862956, -1806765085515328565, -6119159790951798201, 3740590229828404002, -7556226394897251437, 2927905757096097306, 5596897866197205933, 2712245470058516389, 405785737341197455, 7393864799931359269, -5339649127054073153, -1627981577637103785, 1464976088415907225, 345496725915864930, 4224803998714608024, 4876151273105271144"
values_52,2,6,"{8457355740593484218, -3324372647545184311, 4102185408304082093, -5614878431146361803, -2312877089669229805, 6060714397269569516"
values_78,2,8,"{882782968294082903, 719132850196510547, -3855263284787336034, -3354955356761453104, -7372480860525489420, 4402876855678058628, 3286257586285326631, -949846988660701544"
values_20,2,32,"{-3178691593619212288, -1231154439720775817, 6980746540843162541, 2272891339297245667, -8584095098212198065, 832955367551213005, -7700904063554477254, 6878529427916582272, -5522534903037633268, -5867184454607842411, -7994924826808171990, -7989378272787425587, 8008220971634252826, 1227439570199087512, 2897772990209861937, 3204731888663458133, -2570824398289727304, -2351628446333438743, -2239014500249272496, 3104162444121695373, -7691670256851714437, -823167218991189802, -4625022501951714558, 9184754613557876041, 6519266733251267504, -7518799487421410532, -1297876562387947889, -6489182370527746438, -9138011634858123374, -3747203312309964092, -4262083518040993993, 7627606787545854715"
values_53,2,20,"{-8324656820274306849, -2694522451873187399, 235869580112283632, -5449971855725017471, -8633494672452669444, -4438211700803126619, -737386226914467833, -6332711775529866148, 6577703990177473964, -8390356544347714638, 7747619404792124980, 1664847655573243268, -7515755378819077987, -7897369315703603607, -396520382368865124, 2757778043850406586, -8334879814349729648, -1542048279345794736, -6370555417182329165, 4267969078779993405"
values_43,2,31,"{285075418872736823, -3197235625423558579, 3257235979195737387, -508442885426842793, -7710427771071131387, 4991476992118810789, -7410904303499373733, 2601937368577197934, 1682910046154824624, -1999635732168289076, -1018630522080062609, 228719460722455821, 7736001918788226324, -6215279364319488598, -6072084334003123668, -1708418992561360035, -5418540917633283595, 7117791032959446229, 457769482853297136, -684487293720071734, 122937214647833121, 3813023488475514471, 2431016733813283442, 7687726938423387693, 7956691446098800629, -6431259331023214621, 2278676937588012437, -4339099739479734269, 7689785365971830578, 7433712755785565259, 1047552331388110842"
values_42,2,31,"{3506347589270586772, -519999090759732956, -3258223574967472486, 6474525594502047089, 149563258822144490, 7744731978646607309, 563275246363831759, -1199437757103075657, -4143192787916181307, -6934877235245117311, 7835703779582454500, -5591533635655664187, -7247936099743245557, -8083534710433372164, 7885987540882529292, 1083952554425225893, 8622310028872640115, -6118283727295607911, -8469250660600468794, 8542038976813270534, -8863049328946875000, -912342616884463815, -1943578167388454861, 3333394005293552566, -7845436497247520409, -1375935720626709887, -1661904137238966265, 6103653543177935294, -2940139079836129438, 4037492660343563006, -882426005877684542"
values_0,2,18,"{-4546587369682702367, 1797161588682563348, -3004915318412519639, -2493638354815037517, -8581426998614349729, 5731322005479039066, -1905924553150989871, 4994835351832477880, 138921524078457429, -5922995652058892621, -1605224175583539387, -5584945350215428581, 3272736354551895629, 6065097384765714453, 7561905174817737156, -7122268342344972625, 5898300112993494590, 8337868273343086037"
values_61,2,7,"{-8658037483152277391, 8901962116244093930, -2142550304204205848, -8768943031755925967, 471002910850278999, -2169821980103286646, -4013442157494098343"
values_97,2,11,"{-6670075156433950880, -4707137853493128341, -7437722982847600361, 3480352183833764396, 7125246072491737474, 8947849455570425970, -8932957810927773108, 1066719574604947399, 4457599554247381958, 5744740546072905606, 3587160876473118493"
values_14,2,4,"{111603108071996748, 7187836101448739315, -1208019415211542405, -5472967309270301580"
values_87,2,14,"{-9005764033004129246, 1991217115391395062, 7862792131963780639, 3092049294752135421, 5917136961802081348, -1066632407514489634, -7361828420698520369, 2756870019398780029, 1863527601292621825, 271701680625450951, 7384636625779321537, -5646383187265216221, -1182945543576902179, -7182897900835828389"
values_50,2,28,"{1822521752634670856, -6366111677504225081, -2843815230141181963, 3708088892745362404, -5492354630483564892, -5893088963881870001, 1166271721257438723, 6023434561611527232, 6699411145598458174, 5219045574885651195, -6116405958466173635, -4128980824699537019, 8684037292146197458, 1353428379421196550, 914803476337828958, 151960886460838129, 667306542585547024, 8981398587091143384, -1844882240364013076, -6940909453178681606, -8645199740896082010, -2753630078425956661, 1280867769759500432, -7415214797447070871, 259015955581930167, -5325389149537409925, -5866323687294738180, -5128258815044216578"
