inputName,idum
values_84,718469480
values_30,2048699109
values_96,-483866466
values_15,693892093
values_16,1229487057
values_94,1384213755
values_90,-40104205
values_52,821800013
values_78,-65744153
values_20,-1667800321
values_53,1574445765
values_43,721711422
values_42,-661537691
values_0,-983620283
values_61,2011405209
values_97,-1008566407
values_14,-1288135474
values_87,-2088387223
values_50,-61227592
values_83,-1419181947
values_67,653840083
values_86,-1749509727
values_23,309330520
values_64,-229802683
values_44,-1798131370
values_71,1860226664
values_93,-1196086149
values_88,640905219
values_26,1846570107
values_59,966928565
values_57,-716162809
values_82,1894059932
values_75,1161839020
values_51,2024230036
values_7,-1360645573
values_92,1544714123
values_56,2006965084
values_47,970241398
values_95,889183104
values_98,-681252706
values_8,-2118973153
values_18,-153136822
values_28,-1282413025
values_81,-1169374328
values_17,306159729
values_38,1571379688
values_41,1407172475
values_73,-2119468780
values_66,846881361
values_58,-1563798519
values_70,-1531002203
values_46,812320340
values_11,940012915
values_33,1157183406
values_72,266419478
values_6,765381971
values_10,1563032506
values_27,516205924
values_24,1675029869
values_3,803941022
values_69,1853743109
values_36,-229932320
values_21,-512970490
values_5,-1851637332
values_49,1821814094
values_1,1671410773
values_2,-854382135
values_13,1241592779
values_32,232081738
values_39,-667957698
values_4,-1791419869
values_65,-1708506976
values_85,1368272648
values_62,-2130808620
values_91,-1257646156
values_25,391953798
values_63,264689666
values_12,946501677
values_79,-1035938491
values_54,213565023
values_9,544141975
values_74,-1960436364
values_22,-80361648
values_89,-210091347
values_48,882390578
values_99,-134814349
values_60,-822450400
values_34,1758792798
values_31,-177191232
values_37,-1132740180
values_76,-84022720
values_19,-1160240837
values_45,1196797919
values_68,-1061346758
values_35,645678777
values_80,654568719
values_77,-1089019720
values_29,-1100359561
values_55,-872122261
values_40,-707111178
