inputName,size,arr[size]
values_84,22,"{-7859773491936749532, -8530901843411635678, 6077906536683505397, -4846063801388171222, -3541469140116525344, 7443604264828632908, -7909118225992121758, -3286644675926174562, -3533831277375150354, 9151341800858020914, -5453317751321118219, -4158430911432272149, 1378903578028093559, 2342240297858616127, -2844586370099013242, -2540457672943155295, 4064472153500837311, -1449547957851891062, 712701397822646636, 1127028343843662580, -3644574251994633024, -7982156973401345162"
values_30,19,"{2028850380808634883, 1598715087221053022, 1283808101239473049, -664501425852259594, 5911150733509502738, -6863415799103372478, -2825522858380405902, -684570262905605571, 3479561702575895653, -4394557796468268810, -5601148016867110332, 2849017509208337201, 446384217637988703, 6185054570931762558, 6517032566174850649, 2711491560485282124, 6816497750060722354, 7752183946688724039, 1160655780201686633"
values_96,21,"{-8899784746027023517, 140111020541687294, 2327421441089529654, -5863466011840582674, -2939740200751596284, -3051591497742857899, -5444891451682577348, -2047494027637784961, 1376523252911309496, -9208107812225738851, -6467198857302197598, 1970093464394082211, -6402660061266665448, 7716746883105748083, -3458723874896377950, -6671315672773585448, 3027308061308266974, -1008833516363988097, 8588671817029659856, -6257369888576046417, -6312061569126948034"
values_15,25,"{1207510910104372359, -7918830607050718401, -4132517790362033906, 8161018512064212861, 2882489261791526780, 6925055150591018873, -6282207761751696212, 2185417440549318305, -1649506524237742625, 6849743345494144632, -1883139431154774173, -7321825504177575143, 8829683469530403512, -240816714179032467, 3082981203195644163, 1401041199304575618, -1366650607004208508, -3683591923275129375, -4872258742086748663, -1442379436846548531, -4527929180513868190, -856374474088561129, -7778446751440889169, 171863504403995866, -4885676770427221073"
values_16,10,"{-3192251692094477662, -5798104486893136976, 5787694595181055489, 772503462141986723, 4794736093285333007, 5847965566775709702, 4311903249601236428, -2475416747371090264, -3409367377148811792, 309273119998526508"
values_94,17,"{-1919854982786588545, 7330409004800602169, 6091548360631893421, -3079051809437346165, 364071148425511770, 3933008517579614487, 9064483417805413043, 3211397434533317016, -3555476857852693114, -2292236345317762241, -4108457019562873995, -7729953907818887219, 8435401643732916561, -8787287219647607051, 7608555457224662462, 642429358823617417, 1268336872941310773"
values_90,10,"{5829344129736316231, -6855190149362011797, -6390325155761447858, 6872736481638657493, -3216200917476948178, 6995848685009241842, 2169101758000560642, -961409310289738918, 6470065340845208355, 8352530487893780832"
values_52,31,"{2442409443023607723, -6781882485329400239, -899744984538113693, -43189417034129097, 7183273334892094834, 3572321663692297315, 3212722343914663245, 8286751557073273744, 2617843587382931916, -1108656997915914775, 3138949509571055401, -8870714995511494047, 59040991312926691, -5225359150444570788, -4886217093995456682, -7568783656119346750, 5747872495089117023, -1264421711632293282, -8128760141134658659, 7012610801107627396, 6877444989853405250, -5335835234375649692, 3272415694942587077, -2412953780644009268, -8717759758759676475, 5480379686771638990, 3944752587381017961, 43686107214116987, -3202322631120132761, 5648534267026765874, 4432478203407636461"
values_78,17,"{-7791032133768689163, 5867232688369168174, 3265069856718363997, -3894134808205645688, -1460879349104665418, 3286259959663315819, 7193373922562774809, 2205161988103335820, 3977794058399893936, -1358525167146312715, -6459384479227363586, 4276759176817466253, 5388128722562792771, -6853339623507410053, -3240619465241726365, -5154368463341592494, 591545243343161392"
values_20,29,"{-1168364419582410282, 7601080831375061506, 1437285769490489584, 2728649864364783072, 7210011032200479604, 7055269357363365077, -1713285743830426929, 6922210204646265448, 7724544115452227373, -8826965820956676819, -8834529570851354352, -8780155479574070659, 3968296026641779015, 7508700408942331938, -7493320984025272793, 5264120309026036864, -4061761552173553857, -3435834222230581221, -2471327929711517887, -604640627350881501, 1290568435947969224, 3548920560158140927, 4211186933335334585, -2614114969499864851, 8131221012259496618, 2518955748090771648, 5446453504255161877, -4097096523228248044, -2854937649834799008"
